bill_id,category_ids,category_labels,bill_type,reason
hr866-115,,,,"The bill amends federal criminal law to broaden the definition of stalking to include co-workers, which is a crime and law enforcement issue rather than a regulation of private employer wage, hour, or benefit obligations."
hr92-114,,,,"The bill addresses compensation for Members of Congress, which are government employees, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr241-112,,,,"The bill authorizes the conveyance of National Forest System lands to a private foundation, which is a public lands management issue and does not involve private employer wage, hour, or benefit obligations."
s1397-114,,,,"The bill regulates the administrative process for obtaining Individual Taxpayer Identification Numbers (ITINs) from the IRS and does not impose wage, hour, or benefit obligations on private employers."
hr4660-111,,,,"The bill directs a study on federal government procurement contracting goals for small businesses owned by veterans and women, which involves government contracting performance rather than private employer wage, hour, or benefit obligations."
hr4558-114,,,,"The bill authorizes the U.S. Fish and Wildlife Service to seek compensation for environmental damage to trust resources, which relates to environmental liability and natural resource management rather than private employer wage, hour, or benefit obligations."
hr1565-112,,,,"The bill focuses on regional transportation planning and intergovernmental cooperation between state and local officials, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr3758-114,,,,"The bill addresses death gratuities for Members of Congress, which are government employee benefits, not private employer wage, hour, or benefit obligations."
hr3868-114,,,,"The bill regulates the capital structure, asset coverage, and securities offering rules for Business Development Companies under the Investment Company Act of 1940, which pertains to financial sector regulation and investor protection rather than private employer wage, hour, or benefit obligations."
s92-112,,,,"The bill focuses on education policy, specifically funding and governance for public charter schools, and does not regulate private employer wage, hour, or benefit obligations."
s594-112,,,,"The bill addresses environmental liability and judicial jurisdiction for oil spill victims under the Oil Pollution Act, which does not involve private employer wage, hour, or benefit obligations."
hr3027-113,,,,"The bill designates a USPS facility name, which is a government operations matter and does not regulate private employer wage, hour, or benefit obligations."
hr5076-111,,,,"The bill mandates the public disclosure of individuals granted IRS amnesty for tax violations, which relates to tax administration and criminal prosecution rather than private employer wage, hour, or benefit obligations."
s3678-111,,,,"The bill addresses mental health services and assessments for National Guard and Reserve members, which are government employees/service members, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr4799-111,,,,"The bill focuses on federal workforce development and retraining programs for displaced workers, rather than regulating private employer wage, hour, or benefit obligations."
hr4644-114,,,,"The bill authorizes grants for dual language education programs in schools and does not regulate private employer wage, hour, or benefit obligations."
hr2666-113,,,,"The bill regulates the licensing and operation of internet poker facilities and addresses gambling addiction and financial transaction liability, but does not impose wage, hour, or benefit obligations on private employers regarding their employees."
hr381-112,,,,"The bill appropriates federal grants to local governments for hiring law enforcement officers, which involves public-sector employment and government funding rather than regulating private employer wage, hour, or benefit obligations."
s180-112,,,,"The bill regulates the work requirements and wages of federal prison inmates, who are not employees of a non-governmental employer; thus, it does not involve private employer wage, hour, or benefit misconduct."
hr5264-115,,,,"The bill directs the Department of the Interior to provide grants to states for land and water acquisition to improve water quality, which is an environmental protection measure and does not regulate private employer wage, hour, or benefit obligations."
hr357-114,,,,"The bill mandates training for federal government personnel regarding human trafficking and does not impose wage, hour, or benefit obligations on private non-governmental employers."
s858-113,,,,"The bill addresses state waivers for health insurance coverage requirements under the ACA, which regulates insurance markets and state-level coverage standards rather than imposing direct wage, hour, or benefit obligations on private employers."
hr3864-113,,,,"The bill amends the Social Security Act to expand grants for state-administered unemployment compensation demonstration projects, which are public assistance programs rather than regulations of private employer wage, hour, or benefit obligations."
hr825-112,,,,"The bill focuses on highway safety infrastructure, traffic barriers, and signage improvements directed at the Department of Transportation and state agencies, rather than regulating private employer wage, hour, or benefit obligations."
hr780-113,,,,"The bill addresses criminal jurisdiction for domestic violence in Indian country and does not regulate private employer wage, hour, or benefit obligations."
hr3736-115,,,,"The bill directs the National Credit Union Administration to study capital requirements for credit unions, which relates to financial regulation and solvency rather than private employer wage, hour, or benefit obligations."
s2403-115,,,,"The bill modifies federal highway funding apportionment formulas among states and does not regulate private employer wage, hour, or benefit obligations."
hr97-116,,,,"The bill authorizes rewards for information related to wildlife trafficking and organized crime, which does not involve private employer wage, hour, or benefit obligations."
s3993-111,,,,"The bill regulates the leasing of federal lands for geothermal resource development by private entities, which falls under natural resources and land use policy, not private employer wage, hour, or benefit obligations."
hr1762-113,,,,"The bill establishes a biennial budget process for the United States Government and does not regulate private employer wage, hour, or benefit obligations."
hr2477-112,,,,"The bill establishes a VA medal for distinguished public service by veterans, which is a government recognition program and does not regulate private employer wage, hour, or benefit obligations."
hr5946-111,,,,"The bill establishes grants for physical fitness education in public schools and does not regulate private employer wage, hour, or benefit obligations."
hr2203-112,,,,"The bill establishes a pilot program for veterans to receive healthcare from the Department of Veterans Affairs at non-VA facilities, which is a government-administered benefit program and does not regulate private employer wage, hour, or benefit obligations."
hr5386-113,,,,"The bill designates a USPS facility name as a tribute to a military personnel member; it does not regulate private employer wage, hour, or benefit obligations."
s3016-112,,,,"The bill modifies tariff duties on Triadimefon, which is a matter of foreign trade and international finance, and does not regulate private employer wage, hour, or benefit obligations."
hr4617-114,,,,"The bill mandates domestic sourcing for fish in the National School Lunch Program, which is a procurement and agricultural policy matter, not a regulation of private employer wage, hour, or benefit obligations."
hr737-115,,,,"The bill amends the Head Start Act to fund training and technical assistance for trauma-informed practices in early childhood education programs, which are government-funded services rather than private employer wage, hour, or benefit obligations."
hr846-114,,,,"The bill addresses discrimination against students in public schools and does not regulate private employer wage, hour, or benefit obligations."
