bill_id,category_ids,category_labels,reason
hr866-115,,,"The bill addresses criminal stalking protections and workplace safety concerns, but does not regulate private employer obligations regarding wages, hours, overtime, or employee benefit plans."
hr92-114,,,"The bill regulates compensation for Members of Congress, which are government employees, and therefore does not involve private employer wage, hour, or benefit obligations."
hr241-112,,,"The bill authorizes a land exchange between the federal government and a private foundation, involving no private employer wage, hour, or benefit obligations."
s1397-114,,,"The bill focuses on tax administration procedures for issuing Individual Taxpayer Identification Numbers (ITINs) and does not regulate private employer wage, hour, or benefit obligations."
hr4660-111,,,"The bill directs a study on federal government procurement contracting goals for small businesses owned by veterans and women, which involves government contracting rather than private employer wage, hour, or benefit obligations."
hr4558-114,,,"The bill authorizes the U.S. Fish and Wildlife Service to seek compensation for environmental resource damage, which falls under environmental liability rather than private employer wage, hour, or benefit obligations."
hr1565-112,,,"The bill focuses on regional transportation planning and intergovernmental cooperation for infrastructure development, containing no provisions related to private employer wage, hour, or benefit obligations."
hr3758-114,,,"The bill addresses death gratuities for Members of Congress, which are government employee benefits, and does not involve private employer wage, hour, or benefit obligations."
hr3868-114,,,"The bill regulates the capital structure and investment activities of business development companies under the Investment Company Act of 1940, which does not involve private employer wage, hour, or employee benefit obligations."
s92-112,,,"The bill focuses on funding, governance, and facility support for public charter schools under the Elementary and Secondary Education Act, and does not regulate private employer wage, hour, or benefit obligations."
s594-112,,,"The bill addresses environmental liability and judicial jurisdiction for oil spill victims under the Oil Pollution Act, which does not involve private employer wage, hour, or benefit obligations."
hr3027-113,,,"The bill designates a USPS facility name, which involves a government entity and does not regulate private employer wage, hour, or benefit obligations."
hr5076-111,,,"The bill mandates public disclosure of individuals granted IRS amnesty for tax violations, which relates to tax administration and criminal prosecution rather than private employer wage, hour, or benefit obligations."
s3678-111,,,"The bill addresses mental health services for National Guard and Reserve members, which are government employees and military personnel, thus excluding it from the scope of private employer wage, hour, and benefit obligations."
hr4799-111,,,"The bill focuses on federal workforce development and retraining grants for displaced workers to become healthcare professionals, rather than regulating private employer wage, hour, or benefit obligations."
hr4644-114,,,"The bill focuses on funding dual language education programs for students and does not address private employer wage, hour, or benefit obligations."
hr2666-113,,,"The bill regulates the licensing and operation of internet poker facilities and gambling activities, which does not involve private employer wage, hour, or benefit obligations such as minimum wage, overtime, or pension plan management."
hr381-112,,,"The bill provides grants to local governments to hire law enforcement officers, which involves public-sector employment rather than private employer wage, hour, or benefit obligations."
s180-112,,,"The bill regulates labor conditions and wages for federal prison inmates, who are government subjects rather than private-sector employees, and thus does not involve non-governmental employer misconduct."
hr5264-115,,,"The bill focuses on environmental protection and land acquisition grants for water quality improvement, containing no provisions related to private employer wage, hour, or benefit obligations."
hr357-114,,,"The bill mandates training for federal government personnel regarding human trafficking and does not regulate private employer wage, hour, or benefit obligations."
