bill_id,category_ids,category_labels,bill_type,reason
s1654-113,,,,"The bill is a general tax measure denying deductions for all corporate regulatory violations regardless of type, rather than a bill whose central purpose is to address private employer wage, hour, or benefit obligations."
hr2274-108,,,,"The bill is a commemorative measure to rename a federal courthouse and does not relate to private employer wage, hour, or benefit obligations."
s471-115,,,,"The bill addresses state authority to regulate pricing and billing for air ambulance services, which is unrelated to private employer wage, hour, or benefit obligations."
s675-109,,,,"The bill focuses on rural development, housing, and general business investment credits; while it mentions wages as a cost for a small business investment credit, it does not regulate or incentivize compliance with private employer wage, hour, or benefit obligations."
hr4311-114,,,,"The bill concerns the substantiation of charitable contributions for tax deduction purposes and does not relate to private employer wage, hour, or benefit obligations."
hr433-108,,,,"The bill addresses individual income tax credits related to the alternative minimum tax and stock option losses, which is a general tax policy issue rather than a regulation of private employer wage, hour, or benefit obligations."
hr3203-109,,,,"The bill relates to federal grant eligibility for Hispanic-serving institutions under the Higher Education Act and does not address private employer wage, hour, or benefit obligations."
hr6006-110,,,,"The bill concerns military conservation banking and habitat mitigation programs and does not relate to private employer wage, hour, or benefit obligations."
s2452-108,,,,"The bill focuses on the labeling and import requirements for raw ginseng and does not address private employer wage, hour, or benefit obligations."
hr3033-107,,,,"The bill concerns the funding and review of a database for nonimmigrant foreign students and does not relate to private employer wage, hour, or benefit obligations."
hr330-114,,,,"The bill concerns the designation and regulation of national monuments and marine resources, which is unrelated to private employer wage, hour, or benefit obligations."
hr3923-106,,,,"The bill is a piece of private legislation concerning immigrant visa eligibility for a specific individual and does not relate to private employer wage, hour, or benefit obligations."
hr5072-115,,,,"The bill addresses the immigration status of Liberian nationals and does not regulate private employer wage, hour, or benefit obligations."
s1126-115,,,,"The bill focuses on immigration enforcement and federal funding for sanctuary jurisdictions, and does not regulate private employer wage, hour, or benefit obligations."
hr4713-106,,,,"The bill focuses on the solvency and financing of a government-administered trust fund for miner benefits and the adjustment of liability for specific operators, which falls under the exclusion for bills financing government trust funds for miner benefits."
s2285-109,,,,"The bill focuses on whistleblower protections for federal employees, intelligence officers, and government contractors, rather than regulating private employer wage, hour, or benefit obligations."
hr1557-112,,,,"The bill addresses immigration status and permanent residency for family members of 9/11 victims and does not relate to private employer wage, hour, or benefit obligations."
hr6432-114,,,,"The bill focuses on monitoring international trade deficits and developing trade policy, which does not regulate private employer wage, hour, or benefit obligations."
s1605-109,,,,"The bill focuses on criminal penalties for crimes against law enforcement and judicial officers and does not regulate private employer wage, hour, or benefit obligations."
s630-110,,,,"The bill adjusts Medicare reimbursement rates for healthcare providers, which is explicitly listed as a non-qualifying bill type as it sets government payment rates rather than regulating private employer wage or benefit obligations."
s1639-113,,,,"The bill focuses on privacy protections and regulatory requirements for the operation of unmanned aircraft systems and does not address private employer wage, hour, or benefit obligations."
hr1452-110,,,,"The bill concerns campaign finance disclosure requirements for phone banks and does not relate to private employer wage, hour, or benefit obligations."
hr3691-110,,,,"The bill focuses on consumer product safety, recalls, and CPSC regulatory authority, and does not address private employer wage, hour, or benefit obligations."
s831-107,,,,"The bill provides a tax deduction for business meal expenses, which is a general business tax provision and does not relate to private employer wage, hour, or benefit obligations."
hr823-111,,,,"The bill relates to the collection of hate crime statistics and does not address private employer wage, hour, or benefit obligations."
hr3940-110,,,,"The bill addresses Medicaid case management regulations and administrative procedures, which relates to government reimbursement and healthcare administration rather than private employer wage, hour, or benefit obligations."
s714-116,,,,"The bill addresses tax deductions for hardrock mining operations and does not relate to private employer wage, hour, or benefit obligations."
hr2649-109,,,,"The bill's primary purpose is aviation security and whistleblower protections for airport workers; while it mentions wage restitution in the subjects, the summary indicates the central focus is security infrastructure and safety, not the regulation of private employer wage, hour, or benefit obligations."
hr3613-108,,,,"The bill concerns the disclosure of tax return information to the Department of Education for student financial aid purposes and does not regulate private employer wage, hour, or benefit obligations."
hr1473-112,,,,"The bill is a government appropriations act focusing on the Department of Defense and military personnel; it does not regulate private employer wage, hour, or benefit obligations."
hr4946-113,,,,"The bill focuses on firearm tracing and the administration of law enforcement grants, which is entirely unrelated to private employer wage, hour, or benefit obligations."
hr5230-107,,,,"The bill focuses on food safety, product recalls, and meat/poultry inspection enforcement, and does not address private employer wage, hour, or benefit obligations."
s3000-111,,,,"The bill addresses Medicaid funding (FMAP) and government reimbursement rates to states, which does not regulate private employer wage, hour, or benefit obligations."
s61-111,,,,"The bill addresses bankruptcy law and mortgage modifications for homeowners and does not relate to private employer wage, hour, or benefit obligations."
s1508-110,,,,"The bill focuses on tax incentives for renewable energy production and corporate tax administration, and does not address private employer wage, hour, or benefit obligations."
s2155-108,,,,"The bill offers a general tax credit for hiring and domestic production (a manufacturer's jobs credit), which incentivizes hiring decisions rather than regulating or incentivizing compliance with wage, hour, or benefit obligations."
hr4423-108,,,,"The bill is an appropriations bill for the Department of Veterans Affairs funding government services and facilities, which does not regulate private employer wage, hour, or benefit obligations."
s3975-111,,,,"The bill focuses on general income tax rates, capital gains, and the alternative minimum tax, which are general tax policies rather than regulations of private employer wage, hour, or benefit obligations."
hr3823-106,,,,"The bill regulates consumer lending practices and payday loans, which is a matter of financial consumer protection rather than private employer wage, hour, or benefit obligations."
hr5632-110,,,,"The bill concerns the importation of radioactive waste and does not relate to private employer wage, hour, or benefit obligations."
hr4057-111,,,,"The bill concerns payments from a government trust fund to wool manufacturers based on import duties and does not regulate private employer wage, hour, or benefit obligations."
s3569-109,,,,"The bill implements a free trade agreement focusing on customs, tariffs, and international trade regulations, and does not address private employer wage, hour, or benefit obligations."
s1086-113,,,,"The bill reauthorizes a government block grant program for child care services and focuses on quality standards, licensing, and background checks rather than private employer wage, hour, or benefit obligations."
s1078-114,,,,"The bill focuses on public health and outdoor recreation programs administered by the Department of the Interior and does not regulate private employer wage, hour, or benefit obligations."
hr3685-107,,,,"The bill provides a tax credit for individual taxpayers to cover their children's educational expenses and does not regulate or incentivize private employer wage, hour, or benefit obligations."
hr1265-110,,,,"The bill relates to government procurement and contracting preferences for service-disabled veteran-owned small businesses, not to private employer wage, hour, or benefit obligations."
hr2587-113,,,,"The bill addresses administrative leave and volunteerism for federal employees, and the government is not a non-governmental employer under this category."
hr6289-111,,,,"The bill relates to public access to legislative data from the Library of Congress and does not address private employer wage, hour, or benefit obligations."
hr6253-114,,,,"The bill focuses on professional licensing and certification standards for veterans entering the civilian workforce, which does not regulate private employer wage, hour, or benefit obligations."
hr1057-108,,,,"The bill relates to adoption tax credits and assistance programs, which are explicitly listed as non-qualifying general tax or family policy unrelated to private employer wage or benefit obligations."
hr6484-112,,,,"The bill focuses on water resource management and levee stability improvements in California and does not address private employer wage, hour, or benefit obligations."
s393-108,1.0,Wage Hour & Benefits,tax_credit_introduction,"Introduces a tax credit for private employers who maintain employees participating in military reserve components, which incentivizes the retention of workers during protected military leave."
s1450-115,,,,"The bill regulates passenger behavior and mobile device usage on aircraft and does not relate to private employer wage, hour, or benefit obligations."
hr1482-112,,,,"The bill focuses on grants for recruiting and training public school teachers, which involves government-funded education programs and public-sector employment rather than private employer wage or benefit obligations."
s1410-114,,,,"The bill focuses on providing government grants for substance use disorder treatment and recovery services, which does not regulate or incentivize private employer wage, hour, or benefit obligations."
hr610-113,,,,"The bill establishes an advisory committee for tick-borne diseases and does not relate to private employer wage, hour, or benefit obligations."
hr1449-114,,,,"The bill relates to the administration of firearms laws and the disclosure of ATF database information, which has no connection to private employer wage, hour, or benefit obligations."
hr5260-108,,,,"The bill extends the life of a federal advisory committee on veterans' business affairs and does not regulate private employer wage, hour, or benefit obligations."
hr3544-108,,,,"The bill concerns the study of designating lands in Hawaii as a unit of the National Park System and does not relate to private employer wage, hour, or benefit obligations."
hr4287-114,,,,"The bill addresses state and local taxation of wireless services and providers, which is unrelated to private employer wage, hour, or benefit obligations."
s2191-112,,,,"The bill addresses accessibility regulations for pools under the Americans with Disabilities Act and does not relate to private employer wage, hour, or benefit obligations."
hr3896-109,,,,"The bill addresses HUD community development block grant flexibility and disaster relief for municipalities; it does not regulate private employer wage, hour, or benefit obligations."
hr2313-109,,,,"The bill relates to the suspension of tariffs on a specific dye and does not address private employer wage, hour, or benefit obligations."
s915-108,,,,"The bill authorizes appropriations for the Department of Energy's scientific research and does not regulate private employer wage, hour, or benefit obligations."
s2506-109,,,,"The bill focuses on environmental health assessments and public health grants; it does not regulate private employer wage, hour, or benefit obligations."
s2400-113,,,,"The bill focuses on the administration, funding, and quality of emergency medical services (EMS) and does not regulate private employer wage, hour, or benefit obligations."
hr4896-111,,,,"The bill focuses on international arms control and trade restrictions regarding Iran and does not address private employer wage, hour, or benefit obligations."
hr6359-115,,,,"The bill concerns security clearances for federal government employees and reporting on hate group affiliations, which does not involve private employer wage, hour, or benefit obligations."
hr219-116,,,,"The bill addresses taxes on state and local bonds used for abortion facilities and does not relate to private employer wage, hour, or benefit obligations."
s2405-112,,,,"The bill relates to the suspension of tariffs on a specific polymer blend and does not address private employer wage, hour, or benefit obligations."
s708-109,,,,"The bill focuses on Medicare payment rates and quality of care reporting for nursing facilities, which is a government reimbursement issue rather than a private employer wage, hour, or benefit obligation."
hr1487-113,,,,"The bill addresses Medicare physician self-referral and antikickback laws regarding hospital incentive payments, which does not relate to private employer wage, hour, or benefit obligations."
s1457-113,,,,"The bill addresses the capitalization of interest costs for distilled spirits production and does not relate to private employer wage, hour, or benefit obligations."
hr678-107,,,,"The bill addresses personal income tax deductions for student loan interest, which is a general tax policy for individuals and does not regulate private employer wage, hour, or benefit obligations."
hr981-108,,,,"The bill is a commemorative measure to rename a post office and does not relate to private employer wage, hour, or benefit obligations."
hr6159-110,,,,"The bill concerns land exchanges and real property conveyances involving the National Forest System and NOAA, and does not relate to private employer wage, hour, or benefit obligations."
hr2089-113,,,,"The bill focuses on state authority over education standards and curricula and does not regulate private employer wage, hour, or benefit obligations."
hr3337-110,,,,"The bill addresses immigration admissibility and health-related grounds for entry into the U.S., which is unrelated to private employer wage, hour, or benefit obligations."
hr1612-110,,,,"The bill concerns the boundary of a national monument, the establishment of a historic site, and land transfers; it does not relate to private employer wage, hour, or benefit obligations."
hr1106-112,,,,"The bill focuses on establishing a commission to study the social work profession and providing grants for workplace improvements and research, rather than regulating or enforcing private employer wage, hour, or benefit obligations."
hr2507-111,,,,"The bill focuses on federal economic development assistance and poverty elimination for Native American communities, rather than regulating private employer wage, hour, or benefit obligations."
hr4513-115,,,,"The bill relates to eligibility requirements for USDA farm ownership loans and does not address private employer wage, hour, or benefit obligations."
s1193-115,1.0,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces tax credits for private employers who provide job training to trainees, which is explicitly listed as a qualifying credit tied to employer-provided job training."
hr5307-112,,,,"The bill relates to the reduction of tariffs on a chemical substance and does not address private employer wage, hour, or benefit obligations."
hr3054-114,,,,"The bill focuses on financial sector regulation and the separation of commercial and investment banking; it does not address private employer wage, hour, or benefit obligations."
hr4309-107,,,,"The bill relates to the suspension of tariffs on a chemical compound and does not address private employer wage, hour, or benefit obligations."
hr2064-112,,,,"The bill relates to immigration and employment eligibility verification (I-9/E-Verify process), not to employer wage, hour, or benefit obligations."
s2940-111,,,,"The bill focuses on airport security infrastructure and penalties for individuals circumventing security; it does not address private employer wage, hour, or benefit obligations."
hr831-111,,,,"The bill focuses on antitrust exemptions and international alliances between air carriers, which does not relate to private employer wage, hour, or benefit obligations."
hr1854-107,,,,"The bill concerns parental rights to educational materials and medical consent for minors in schools, which is unrelated to private employer wage, hour, or benefit obligations."
hjres24-114,,,,"The bill proposes a constitutional amendment regarding political campaign contributions and expenditures, which is unrelated to private employer wage, hour, or benefit obligations."
hr6942-110,,,,"The bill relates to the design and minting of the five-cent coin and has no connection to private employer wage, hour, or benefit obligations."
s3529-112,,,,"The bill relates to environmental regulations under the Clean Air Act and EPA enforcement regarding hazardous air pollutants, not private employer wage, hour, or benefit obligations."
hr438-116,,,,"The bill concerns federal funding for state and local law enforcement regarding immigration detainers and does not relate to private employer wage, hour, or benefit obligations."
hr3755-112,,,,"The bill concerns prohibitions on demonstrations at funerals and memorial services for veterans and does not relate to private employer wage, hour, or benefit obligations."
hr4567-111,,,,"The bill focuses on establishing criminal jurisdiction over federal contractors and employees for crimes committed abroad, rather than regulating private employer wage, hour, or benefit obligations."
hr407-107,,,,"The bill concerns the denial of passports to individuals for nonpayment of child support, which is a personal legal obligation and not a private employer's wage, hour, or benefit obligation."
hr2432-108,,,,"The bill focuses on reforming federal paperwork and regulatory processes to reduce administrative burdens; it does not regulate private employer wage, hour, or benefit obligations."
hr3382-112,,,,"The bill prohibits smoking in federal buildings and does not regulate private employer wage, hour, or benefit obligations."
hr88-116,,,,"The bill concerns the interstate transport and legality of knives and does not relate to private employer wage, hour, or benefit obligations."
hr4705-106,,,,"The bill focuses on recouping federal R&D investments from pharmaceutical companies to fund a trust fund and drug benefits; it does not regulate private employer wage, hour, or benefit obligations to their employees."
hr803-112,,,,"The bill addresses vocational rehabilitation and benefits administered by the Department of Veterans Affairs for veterans, which are government-provided services and not obligations of non-governmental employers."
hr4883-113,,,,"The bill focuses on the establishment of a rare-earth refinery cooperative and domestic supply chain requirements for weapon systems, with no relation to private employer wage, hour, or benefit obligations."
