bill_id,category_id,category_label,reason
hr129-113,10,Glass-Steagall / bank-securities separation,"The bill explicitly aims to reinstate the separation between commercial banking and securities activities, mirroring the provisions of the Glass-Steagall Act and repealing parts of the Gramm-Leach-Bliley Act that dismantled it."
s2216-114,4,Money laundering / financial crime strategy,"The bill focuses on the reporting of financial exploitation of senior citizens, which directly relates to financial crime strategy and anti-money laundering efforts, as exploitation often involves illicit financial activity."
hr4619-114,7,SOX / PCAOB / audit firm oversight,"The bill focuses on whistleblower protections and reward structures within financial regulatory agencies, which relates to audit firm oversight and the enforcement of financial regulations, aligning with the principles of SOX and PCAOB oversight."
hr3217-107,18,Consumer / predatory mortgage lending,"The bill directly addresses consumer credit, payment grace periods, and protections against adverse credit reporting for late payments, aligning with the focus of consumer/predatory mortgage lending legislation."
s2489-114,17,AML / beneficial ownership / corporate transparency,"The bill focuses on beneficial ownership disclosure of corporations to prevent illicit finance, which directly aligns with the goals of combating money laundering and increasing corporate transparency as outlined in category 17."
hr857-111,3,Executive compensation at financial firms / TARP,"The bill directly addresses pay limits and restrictions at firms receiving TARP funds, which falls under the scope of executive compensation at financial firms and TARP oversight."
hr1941-114,7,SOX / PCAOB / audit firm oversight,"The bill focuses on the examination process of financial institutions, establishing an independent review process and appealing supervisory determinations, which relates to audit oversight and regulatory compliance similar to the functions of SOX and the PCAOB."
hr827-113,7,SOX / PCAOB / audit firm oversight,"The bill amends the Securities Investor Protection Act, which relates to the protection of investors and the oversight of broker-dealers, falling under the purview of SOX, PCAOB, and audit firm oversight as it concerns the integrity of financial reporting and investor protection."
s479-103,8,Investment company / hedge fund / investment adviser regulation,"The bill directly addresses regulation of investment companies, small business offerings, and business development companies, all of which fall under the scope of investment company and investment adviser regulation."
s2498-113,15,Crowdfunding and small-issuer capital formation,"The bill focuses on easing capital formation for small issuers by clarifying rules around general solicitation for Regulation D offerings, which falls under crowdfunding and small-issuer capital formation legislation."
hr3945-109,6,Dodd-Frank reform / implementation,"The bill provides temporary flexibility for financial institutions affected by Hurricane Katrina, which can be considered a form of emergency implementation related to the broader financial system and potential Dodd-Frank-like considerations for systemic stability."
hr2341-107,7,SOX / PCAOB / audit firm oversight,"The bill focuses on class action procedures, attorney's fees, settlement transparency, and judicial review, all of which relate to corporate governance and oversight of legal proceedings involving public companies and their securities, aligning with the scope of SOX/PCAOB/audit firm oversight."
s365-111,4,Money laundering / financial crime strategy,"The bill focuses on establishing a task force to address mortgage fraud, which falls under the umbrella of financial crime strategy and enforcement of anti-fraud laws."
s172-113,18,Consumer / predatory mortgage lending,"The bill directly addresses consumer credit, specifically small-dollar loans, and aims to protect consumers from predatory lending practices by regulating the extension of credit and empowering the CFPB to investigate violations, aligning with the focus of category 18."
