bill_id,relevant,confidence,reason,captured_by_keyword
hr129-113,True,high,"The bill directly regulates the affiliation between commercial banks and securities firms, impacting corporate finance and the issuance/underwriting of securities, which falls under the scope of corporate financial conduct regulation.",False
s2216-114,True,high,"The bill directly addresses potential financial fraud offenses and financial crimes targeting senior citizens through the disclosure of exploitation by employees of investment advisers and broker-dealers, which are regulated entities within the scope of corporate financial conduct.",False
hr4619-114,True,high,"The bill directly addresses securities fraud and accounting fraud through whistleblower protections and incentives related to reporting violations to the SEC and CFTC, and it reforms the SEC's award process and enforcement powers.",False
hr3217-107,True,high,"Although focused on consumer payments, the bill directly impacts financial services businesses and prohibits adverse credit reporting related to payments, which falls under the scope of corporate financial conduct and disclosure requirements.",False
s2489-114,True,high,"The bill directly addresses corporate finance and management by requiring disclosure of beneficial owners and establishing anti-money laundering programs for corporate formation agents, aiming to prevent misuse of corporations for criminal and civil misconduct, which falls under the regulation of corporate financial conduct.",True
hr857-111,True,high,"The bill directly regulates the compensation of employees at financial institutions receiving funds under TARP, which impacts corporate financial conduct related to executive pay and potential incentives for risk-taking.",False
hr1941-114,True,high,"The bill directly addresses the examination process of financial institutions, including appeals of supervisory determinations, which impacts the financial reporting and potential penalties faced by these corporations.",False
hr827-113,True,high,"The bill directly relates to the Securities Investor Protection Corporation (SIPC) and its interaction with the Securities and Exchange Commission (SEC) regarding customer protection in the event of broker-dealer failures, impacting the financial conduct and recovery processes for investors.",False
s479-103,True,high,"The bill directly amends the Securities Act of 1933 and the Investment Company Act of 1940, altering securities registration requirements, defining 'qualified purchasers' for exemptions, and modifying regulations for business development companies, all of which fall under the regulation of corporate financial conduct.",False
s1499-115,False,high,"This bill focuses on the Consumer Financial Protection Bureau's oversight of depository institutions based on asset size, and does not address corporate financial conduct related to securities, accounting, or market regulation.",False
s2498-113,True,high,"The bill directly addresses Regulation D under the Securities Act of 1933, which governs the private offering of securities, and proposes changes to the rules regarding general solicitation in such offerings.",True
hr3945-109,True,high,"The bill includes provisions authorizing regulators to provide forbearance to undercapitalized insured entities affected by Hurricane Katrina and to modify capital calculations, which directly relates to the financial stability and regulatory oversight of depository institutions and credit unions, impacting corporate financial conduct.",False
