bill_id,category_ids,category_labels,bill_type,reason
s1654-113,11;12,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct",enforcement,"The bill prohibits tax deductions for amounts paid to governmental entities related to violations of law, effectively increasing the financial penalty for corporate misconduct and incentivizing compliance, and relates to financial reporting and potential criminal conduct."
hr2274-108,,,,This bill designates a courthouse and does not relate to any type of corporate misconduct targeted by government enforcement actions.
s471-115,,,,The bill concerns state regulation of air ambulance services and does not directly address any type of corporate misconduct targeted by government enforcement actions as defined by the Violation Tracker categories.
s675-109,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting,tax_credit_introduction,"The bill introduces multiple tax credits and incentives (loan repayment, capital gains, homestead accounts, investment credits) aimed at encouraging individuals and businesses to invest in and remain in rural areas, which indirectly relates to employer conduct by incentivizing economic activity and job creation in those areas, and includes provisions for small business investment and venture capital funding."
hr4311-114,,,,The bill concerns IRS regulations regarding charitable contribution substantiation and does not relate to any type of corporate misconduct targeted by government enforcement actions.
hr433-108,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a tax credit related to losses from incentive stock options, which are a form of employee compensation, and thus relates to private employer wage/benefit conduct."
hr3203-109,,,,"Bill relates to federal aid for Hispanic-Serving Institutions and does not involve any regulation or enforcement of corporate conduct, or tax incentives related to corporate misconduct."
hr6006-110,,,,The bill authorizes military departments to participate in conservation banking programs to offset environmental impacts from military activities; it does not regulate private employer conduct or introduce tax incentives related to corporate misconduct.
s2452-108,15,Competition-related Offenses,enforcement,"The bill requires labeling of ginseng country of harvest, which relates to agricultural marketing standards and could involve enforcement against companies for mislabeling or false origin claims."
hr3033-107,,,,Bill relates to funding a database of foreign students and a GAO review; it does not regulate or incentivize any corporate conduct related to the Violation Tracker categories.
hr330-114,,,,"The bill concerns presidential authority over the designation of national monuments and requires congressional approval for such designations, and does not relate to any corporate misconduct targeted by government enforcement actions."
hr3923-106,,,,This is a private bill for immigration relief for a specific individual and does not relate to any type of corporate misconduct targeted by government enforcement actions.
hr5072-115,,,,This bill concerns the adjustment of status for Liberian nationals to lawful permanent residents and does not relate to corporate misconduct targeted by government enforcement actions.
s1126-115,,,,"This bill concerns federal funding for border security and penalties for sanctuary jurisdictions, and does not directly regulate or incentivize any conduct related to corporate misconduct as defined by the Violation Tracker categories."
hr4713-106,1;3,Wage Hour & Benefits;Labor Relations,enforcement,"The bill directly relates to the financing of the United Mine Workers of America Combined Benefit Fund, which involves employer contributions to pension and retiree health benefits, and modifies obligations related to coal wage agreements, impacting collective bargaining and employer conduct."
