bill_id,category_ids,category_labels,bill_type,bill_category,reason
hr866-115,,,,,"The bill amends federal criminal law regarding stalking protections for co-workers, which is a matter of personal safety and criminal justice, not private employer wage, hour, or benefit obligations."
hr92-114,,,,,"The bill addresses compensation for Members of Congress, which are government employees, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr241-112,,,,,"The bill authorizes the conveyance of National Forest System lands to a private foundation, which is a public lands management issue and does not involve private employer wage, hour, or benefit obligations."
s1397-114,,,,,"The bill concerns tax administration procedures for issuing Individual Taxpayer Identification Numbers (ITINs) and does not regulate private employer wage, hour, or benefit obligations."
hr4660-111,,,,,"The bill directs a study on federal government procurement goals for small businesses owned by veterans and women; it does not regulate private employer wage, hour, or benefit obligations."
hr4558-114,,,,,"The bill authorizes the U.S. Fish and Wildlife Service to seek compensation for environmental damage to trust resources, which relates to environmental liability and natural resource protection rather than private employer wage, hour, or benefit obligations."
hr1565-112,,,,,"The bill focuses on statewide transportation planning and intergovernmental cooperation between state and local officials, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr3758-114,,,,,"The bill addresses death gratuities for Members of Congress, which are government employee benefits, not private employer wage, hour, or benefit obligations."
hr3868-114,,,,,"The bill regulates the capital structure, asset coverage, and securities offerings of Business Development Companies (BDCs) under the Investment Company Act of 1940, which pertains to financial sector regulation and investor protection rather than private employer wage, hour, or benefit obligations."
s92-112,,,,,"The bill focuses on public charter school funding, governance, and facility loans under the Elementary and Secondary Education Act, which does not involve private employer wage, hour, or benefit obligations."
s594-112,,,,,"The bill addresses environmental liability and judicial jurisdiction regarding oil spills under the Oil Pollution Act, which does not involve private employer wage, hour, or benefit obligations."
hr3027-113,,,,,"The bill designates a USPS facility name, which is a symbolic government operations measure and does not regulate private employer wage, hour, or benefit obligations."
hr5076-111,,,,,"The bill concerns IRS tax administration and the disclosure of amnesty recipients, which does not regulate private employer wage, hour, or benefit obligations."
s3678-111,,,,,"The bill addresses mental health services and assessments for members of the National Guard and Reserves, which are government/military personnel, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr4799-111,,,,,"The bill focuses on federal workforce development and training programs for displaced workers, rather than regulating private employer wage, hour, or benefit obligations."
hr4644-114,,,,,"The bill authorizes grants for dual language education programs in schools and does not regulate private employer wage, hour, or benefit obligations."
hr2666-113,,,,,"The bill regulates the licensing and operation of internet poker facilities, focusing on gambling laws, consumer protection, and financial transaction rules, rather than private employer wage, hour, or benefit obligations."
hr381-112,,,,,"The bill provides grants to local governments to hire law enforcement officers, which involves public-sector employment and government funding rather than regulating private employer wage, hour, or benefit obligations."
s180-112,,,,,"The bill regulates the work requirements and wages of federal prison inmates, who are not employees of private non-governmental employers; therefore, it does not address private employer wage, hour, or benefit obligations."
hr5264-115,,,,,"The bill directs the Department of the Interior to provide grants to states for land and water acquisition to improve water quality, which is an environmental protection measure and does not regulate private employer wage, hour, or benefit obligations."
hr357-114,,,,,"The bill mandates training for federal government personnel regarding human trafficking, which involves public-sector employees and does not regulate private employer wage, hour, or benefit obligations."
s858-113,,,,,"The bill primarily addresses state-level waivers for health insurance coverage requirements under the ACA, focusing on state government operations and insurance market rules rather than imposing direct obligations on private employers regarding their group health plans or wage/hour conduct."
hr3864-113,,,,,"The bill amends the Social Security Act to modify grants for state-administered unemployment compensation demonstration projects, which are public assistance programs rather than private employer wage, hour, or benefit obligations."
hr825-112,,,,,"The bill focuses on highway safety infrastructure, traffic barriers, and signage standards, which are public works and safety issues rather than private employer wage, hour, or benefit obligations."
hr780-113,,,,,"The bill addresses criminal jurisdiction for domestic violence in Indian country and does not regulate private employer wage, hour, or benefit obligations."
hr3736-115,,,,,"The bill directs the National Credit Union Administration to study capital requirements for credit unions, which is a matter of financial institution regulation and solvency, not private employer wage, hour, or benefit obligations."
s2403-115,,,,,"The bill modifies federal highway fund apportionment formulas among states and does not regulate private employer wage, hour, or benefit obligations."
hr97-116,,,,,"The bill authorizes rewards for information related to wildlife trafficking and organized crime, which does not involve private employer wage, hour, or benefit obligations."
s3993-111,,,,,"The bill concerns the leasing of federal lands for geothermal energy production and does not regulate private employer wage, hour, or benefit obligations."
hr1762-113,,,,,"The bill concerns the federal budget process and appropriations procedures for the U.S. Government, not private employer wage, hour, or benefit obligations."
hr2477-112,,,,,"The bill establishes a VA medal for distinguished public service for veterans, which is a government recognition program and does not regulate private employer wage, hour, or benefit obligations."
hr5946-111,,,,,"The bill establishes a grant program for elementary and secondary schools to improve physical fitness education; it does not regulate private employer wage, hour, or benefit obligations."
hr2203-112,,,,,"The bill establishes a pilot program for veterans to receive healthcare from the Department of Veterans Affairs at non-VA facilities, which is a government-funded service program and does not regulate private employer wage, hour, or benefit obligations."
hr5386-113,,,,,"The bill designates a USPS facility name as a tribute to a military personnel member; it does not regulate private employer wage, hour, or benefit obligations."
s3016-112,,,,,"The bill concerns tariff adjustments for Triadimefon under the Harmonized Tariff Schedule, which relates to foreign trade and international finance, not private employer wage, hour, or benefit obligations."
hr4617-114,,,,,"The bill amends the National School Lunch Act to impose 'Buy American' procurement requirements on school food authorities regarding fish purchases; it does not regulate private employer wage, hour, or benefit obligations."
hr737-115,,,,,"The bill amends the Head Start Act to improve training and services for children within a federally funded program; it does not regulate private employer wage, hour, or benefit obligations."
hr846-114,,,,,"The bill addresses discrimination in public schools and federally-assisted educational programs, which involves government entities and educational institutions rather than private employer wage, hour, or benefit obligations."
s315-114,,,,,"The bill introduces a personal income tax credit for individuals purchasing hearing aids, which is a general tax or family policy measure unrelated to private employer wage, hour, or benefit obligations."
hr582-115,,,,,"The bill regulates the technical configuration of multi-line telephone systems for emergency 9-1-1 access, which is a public safety and telecommunications issue, not a private employer wage, hour, or benefit obligation."
hr4774-111,,,,,"The bill concerns the governance and appointment process for the Board of Regents of the Smithsonian Institution, a federal entity, and does not regulate private employer wage, hour, or benefit obligations."
s1428-112,,,,,"The bill focuses on phasing out private military contractors for federal government security functions and increasing congressional oversight of federal procurement; it does not regulate private employer wage, hour, or benefit obligations for their employees."
hr2753-113,,,,,"The bill primarily addresses Medicare Advantage (a federal health insurance program) enrollment rules, risk adjustment, and rating systems, rather than imposing obligations on private employers regarding their employee benefit plans or wage/hour compliance."
hr244-112,,,,,"The bill regulates the use of federal stimulus and disaster relief funds by states and political subdivisions for business relocation incentives, rather than imposing wage, hour, or benefit obligations on private non-governmental employers."
hr4504-111,,,,,"The bill concerns Internet censorship and FCC regulations on search providers, which is unrelated to private employer wage, hour, or benefit obligations."
hr1241-114,,,,,"The bill suspends the federal debt ceiling, which is a matter of public finance and government borrowing authority, not private employer wage, hour, or benefit obligations."
s1618-112,,,,,"The bill addresses eligibility for Supplemental Security Income (SSI), which is a federal public assistance program, not a private employer wage, hour, or benefit obligation."
s1510-113,,,,,"The bill focuses on Department of Defense financial auditing, reprogramming authority, and internal management structures, which are government administrative matters and do not regulate private employer wage, hour, or benefit obligations."
hr5368-113,,,,,"The bill focuses on international affairs, foreign aid, and immigration policy regarding unaccompanied alien children from Central America, and does not regulate private employer wage, hour, or benefit obligations."
s1899-112,,,,,"The bill addresses benefits for military personnel killed or wounded in a specific attack, which falls under government-administered veterans' benefits and national security policy, not private employer wage, hour, or benefit obligations."
s3411-114,,,,,"The bill regulates FEMA's administrative recovery of disaster assistance payments to state and local governments, which are public entities, and does not impose obligations on private non-governmental employers regarding wages, hours, or benefits."
s2943-114,,,,,"The bill is a National Defense Authorization Act that primarily addresses military personnel compensation, DoD appropriations, and government employee benefits; it does not regulate private employer wage, hour, or benefit obligations."
s791-115,,,,,"The bill focuses on intellectual property education and training for small businesses via the SBA and SBDCs, which does not involve private employer wage, hour, or benefit obligations."
hr4605-111,,,,,"The bill requires tax-exempt organizations (such as business leagues and chambers of commerce) to disclose donor information on their tax returns; it does not regulate private employer wage, hour, or benefit obligations toward employees."
