bill_id,category_ids,category_labels,bill_type,bill_category,reason
hr866-115,,,,,"The bill amends federal criminal law to broaden the definition of stalking to include co-workers, which is a crime and law enforcement issue rather than a regulation of private employer wage, hour, or benefit obligations."
hr92-114,,,,,"The bill addresses compensation for Members of Congress, which are government employees, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit misconduct."
hr241-112,,,,,"The bill authorizes the conveyance of National Forest System lands to a private foundation, which is a public lands management issue and does not involve private employer wage, hour, or benefit obligations."
s1397-114,,,,,"The bill concerns tax administration procedures for issuing Individual Taxpayer Identification Numbers (ITINs) and does not regulate private employer wage, hour, or benefit obligations."
hr4660-111,,,,,"The bill directs a study on federal government procurement goals for small businesses owned by veterans and women; it does not impose obligations on private employers regarding wages, hours, or benefits."
hr4558-114,,,,,"The bill authorizes the U.S. Fish and Wildlife Service to seek compensation for environmental resource damage, which relates to environmental liability and natural resource management rather than private employer wage, hour, or benefit obligations."
hr1565-112,,,,,"The bill focuses on state and local transportation planning cooperation and does not impose any obligations on private employers regarding wages, hours, or benefits."
hr3758-114,,,,,"The bill addresses death gratuities for Members of Congress, which are government employee benefits, not private employer wage, hour, or benefit obligations."
hr3868-114,,,,,"The bill regulates the capital structure, asset ownership, and reporting requirements of Business Development Companies (BDCs) under the Investment Company Act of 1940, which pertains to securities regulation and financial services rather than private employer wage, hour, or benefit obligations."
s92-112,,,,,"The bill focuses on public charter school funding, governance, and facility loans under the Elementary and Secondary Education Act, which are public education policy matters and do not regulate private employer wage, hour, or benefit obligations."
s594-112,,,,,"The bill addresses environmental liability and judicial jurisdiction regarding oil spills under the Oil Pollution Act, which does not involve private employer wage, hour, or benefit obligations."
hr3027-113,,,,,"The bill designates a USPS facility name, which is a symbolic government operations measure and does not regulate private employer wage, hour, or benefit obligations."
hr5076-111,,,,,"The bill concerns IRS tax administration and the disclosure of amnesty recipients, which does not regulate private employer wage, hour, or benefit obligations."
s3678-111,,,,,"The bill addresses mental health services and assessments for members of the National Guard and Reserves, which are government/military personnel, not private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit obligations."
hr4799-111,,,,,"The bill focuses on federal workforce development and training grants for displaced workers to become healthcare professionals, rather than regulating private employer wage, hour, or benefit obligations."
hr4644-114,,,,,"The bill authorizes grants for dual language education programs in schools and does not regulate private employer wage, hour, or benefit obligations."
hr2666-113,,,,,"The bill regulates the licensing and operation of internet poker facilities, focusing on gambling laws, consumer protection, and financial transaction rules, rather than private employer wage, hour, or benefit obligations."
hr381-112,,,,,"The bill provides grants to local governments to hire law enforcement officers, which involves public-sector employment and government funding rather than regulating private employer wage, hour, or benefit obligations."
s180-112,,,,,"The bill regulates the work requirements and wages of federal prison inmates, who are not employees of private non-governmental employers; therefore, it does not involve private employer wage, hour, or benefit misconduct."
hr5264-115,,,,,"The bill directs the Department of the Interior to provide grants to states for land and water acquisition to improve water quality, which is an environmental protection measure and does not regulate private employer wage, hour, or benefit obligations."
hr357-114,,,,,"The bill mandates training for federal government personnel regarding human trafficking, which involves public-sector employees and does not regulate private employer wage, hour, or benefit obligations."
s858-113,,,,,"The bill primarily addresses state-level waivers for health insurance coverage requirements under the ACA, focusing on state government operations and insurance market rules rather than imposing direct obligations on private employers regarding their group health plans or wage/hour compliance."
hr3864-113,,,,,"The bill amends the Social Security Act to modify grants for state-administered unemployment compensation demonstration projects, which are public assistance programs and government services, not private employer wage, hour, or benefit obligations."
hr825-112,,,,,"The bill focuses on highway safety infrastructure, traffic signs, and protective measures for workers on construction sites, which falls under workplace safety and transportation policy rather than private employer wage, hour, or benefit obligations."
hr780-113,,,,,"The bill addresses criminal jurisdiction for domestic violence in Indian country and does not regulate private employer wage, hour, or benefit obligations."
hr3736-115,,,,,"The bill directs the National Credit Union Administration to study capital requirements for credit unions, which is a matter of financial institution regulation and solvency, not private employer wage, hour, or benefit obligations."
s2403-115,,,,,"The bill modifies formulas for apportioning federal highway funds to states, which is a matter of government transportation funding and does not regulate private employer wage, hour, or benefit obligations."
hr97-116,,,,,"The bill authorizes rewards for information related to wildlife trafficking and organized crime, which does not involve private employer wage, hour, or benefit obligations."
s3993-111,,,,,"The bill concerns the leasing of federal lands for geothermal resource development and does not regulate private employer wage, hour, or benefit obligations."
hr1762-113,,,,,"The bill concerns the federal budget process and appropriations procedures for the U.S. Government, not private employer wage, hour, or benefit obligations."
hr2477-112,,,,,"The bill establishes a medal for distinguished public service awarded by the Department of Veterans Affairs to veterans, which is a government recognition program and does not regulate private employer wage, hour, or benefit obligations."
hr5946-111,,,,,"The bill establishes grants for physical fitness education in public schools and does not regulate private employer wage, hour, or benefit obligations."
hr2203-112,,,,,"The bill establishes a pilot program for veterans to receive healthcare from the Department of Veterans Affairs at non-VA facilities, which involves government-funded services and reimbursement rates rather than regulating private employer wage, hour, or benefit obligations."
hr5386-113,,,,,"The bill designates a USPS facility name as a tribute to a military personnel member; it does not regulate private employer wage, hour, or benefit obligations."
s3016-112,,,,,"The bill amends the Harmonized Tariff Schedule to provide duty-free treatment for Triadimefon, which is a matter of foreign trade and tariffs, not private employer wage, hour, or benefit obligations."
hr4617-114,,,,,"The bill mandates domestic sourcing for fish in the National School Lunch Program, which is a government procurement and agricultural policy matter, not a regulation of private employer wage, hour, or benefit obligations."
hr737-115,,,,,"The bill amends the Head Start Act to improve training and coordination for early childhood education programs, which are government-funded or non-profit entities, and does not impose wage, hour, or benefit obligations on private non-governmental employers."
hr846-114,,,,,"The bill addresses discrimination in public schools and federally-assisted educational programs, which involves government entities and educational institutions rather than private employer wage, hour, or benefit obligations."
s315-114,,,,,"The bill provides a personal income tax credit for individuals purchasing hearing aids, which is a general tax or family policy measure unrelated to private employer wage, hour, or benefit obligations."
hr582-115,,,,,"The bill regulates the technical configuration of multi-line telephone systems for emergency 9-1-1 access, which is a public safety and telecommunications issue, not a private employer wage, hour, or benefit obligation."
hr4774-111,,,,,"The bill concerns the governance and appointment process for the Board of Regents of the Smithsonian Institution, a federal entity, and does not regulate private employer wage, hour, or benefit obligations."
s1428-112,,,,,"The bill focuses on phasing out private military contractors for federal government security functions and increasing congressional oversight of federal procurement; it does not regulate private employer wage, hour, or benefit obligations for their employees."
hr2753-113,,,,,"The bill primarily addresses Medicare Advantage (Part C) enrollment rules, risk adjustment, and rating systems, which are government-administered health insurance programs and reimbursement mechanisms, not private employer wage, hour, or benefit obligations under ERISA or FLSA."
hr244-112,,,,,"The bill regulates the use of federal stimulus and disaster relief funds by states and political subdivisions for business relocation incentives, rather than imposing direct wage, hour, or benefit obligations on private non-governmental employers."
hr4504-111,,,,,"The bill concerns Internet censorship and FCC regulations on search providers, which is unrelated to private employer wage, hour, or benefit obligations."
hr1241-114,,,,,"The bill suspends the federal debt ceiling, which is a matter of national fiscal policy and government borrowing authority, not private employer wage, hour, or benefit obligations."
s1618-112,,,,,"The bill addresses eligibility for Supplemental Security Income (SSI), which is a federal public assistance program, not a private employer wage, hour, or benefit obligation."
s1510-113,,,,,"The bill focuses on Department of Defense financial auditing, reprogramming authority, and internal management structures, which are government administrative matters and do not regulate private employer wage, hour, or benefit obligations."
hr5368-113,,,,,"The bill focuses on international affairs, foreign aid, and immigration policy regarding unaccompanied alien children from Central America, and does not regulate private employer wage, hour, or benefit obligations."
s1899-112,,,,,"The bill addresses benefits and status for military personnel killed or wounded in a specific attack, which falls under government-administered veterans' benefits and military compensation, not private employer wage, hour, or benefit obligations."
s3411-114,,,,,"The bill regulates FEMA's administrative recovery of disaster assistance payments from state and local governments, which are public entities, and does not impose obligations on private non-governmental employers regarding wages, hours, or benefits."
s2943-114,,,,,"The bill is a National Defense Authorization Act that primarily addresses military personnel compensation, DoD appropriations, and government employee benefits; it does not regulate private employer wage, hour, or benefit obligations."
s791-115,,,,,"The bill focuses on intellectual property education and training for small businesses, which does not involve private employer wage, hour, or benefit obligations."
hr4605-111,,,,,"The bill requires tax-exempt organizations (such as business leagues and chambers of commerce) to disclose donor information, which is a matter of tax administration and transparency for non-profit entities, not a regulation of private employer wage, hour, or benefit obligations."
s2363-112,,,,,"The bill suspends duties on imported handheld food blenders, which is a trade policy matter unrelated to private employer wage, hour, or benefit obligations."
s792-115,1.0,Wage Hour & Benefits,enforcement,wage_hour,"The bill establishes specific wage, housing, and recruitment obligations for private employers utilizing H-2B temporary workers, directly regulating private employer conduct regarding worker compensation and conditions."
hr5601-111,,,,,"The bill provides relief to homeowners with FHA-insured mortgages affected by the Deepwater Horizon oil spill, focusing on housing finance and disaster relief rather than private employer wage, hour, or benefit obligations."
s90-112,,,,,"The bill establishes a voluntary award program administered by the Department of Defense to recognize private employers with family-friendly policies; it does not impose mandatory wage, hour, or benefit obligations, nor does it introduce tax credits or enforce compliance with existing labor laws."
hr1238-115,,,,,"The bill focuses on Department of Homeland Security coordination for food and agriculture defense against terrorism, involving only government agencies and not imposing any wage, hour, or benefit obligations on private employers."
hr1128-114,,,,,"The bill focuses on information security and data privacy within the Department of Veterans Affairs, a government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr173-116,,,,,"The bill focuses on environmental review processes, eminent domain, and public participation for natural gas pipelines regulated by FERC, and does not address private employer wage, hour, or benefit obligations."
hr6619-112,,,,,"The bill concerns the conveyance of federal land to a municipal government for economic development and does not regulate private employer wage, hour, or benefit obligations."
s1709-112,,,,,"The bill adjusts interest rates for federal SBA disaster loans, which is a government lending and disaster relief measure, not a regulation of private employer wage, hour, or benefit obligations."
hr1054-114,,,,,"The bill addresses retirement benefits for Members of Congress under the Civil Service Retirement System and Federal Employees Retirement System, which are public-sector entities; it does not regulate private employer wage, hour, or benefit obligations."
hr208-116,,,,,"The bill extends the federal Supplemental Security Income (SSI) program to Guam, which is a public assistance program administered by the government, not a regulation of private employer wage, hour, or benefit obligations."
hr4777-111,,,,,"The bill provides a general hiring tax credit and payroll tax exemption to incentivize job creation, which is explicitly excluded as it does not regulate private employer wage, hour, or benefit compliance obligations."
hr4757-113,,,,,"The bill amends Internal Revenue Code provisions regarding private activity bond financing for first-time farmers, which relates to agricultural tax incentives and securities regulation rather than private employer wage, hour, or benefit obligations."
s843-113,,,,,"The bill regulates federal agency ammunition purchasing and possession, which involves government procurement and law enforcement administration rather than private employer wage, hour, or benefit obligations."
hr4307-113,,,,,"The bill concerns food safety regulations regarding unpasteurized milk and does not address private employer wage, hour, or benefit obligations."
hr4807-114,,,,,"The bill adjusts federal matching rates for Medicaid expansion under the Social Security Act, which is a government benefit program and reimbursement mechanism, not a regulation of private employer wage, hour, or benefit obligations."
hr5469-111,,,,,"The bill adjusts mileage reimbursement rates and vehicle transport allowances for members of the Armed Forces, which are government employees; it does not regulate private employer wage, hour, or benefit obligations."
hr432-114,,,,,"The bill regulates investment advisers of Small Business Investment Companies under the Investment Advisers Act of 1940, focusing on SEC registration and reporting requirements rather than private employer wage, hour, or benefit obligations."
hr1745-115,,,,,"The bill addresses federal budget sequestration and automatic spending cuts under the Balanced Budget and Emergency Deficit Control Act, which are matters of public finance and government appropriations, not private employer wage, hour, or benefit obligations."
hr1310-114,,,,,"The bill regulates institutions of higher education regarding campus sexual violence reporting and disciplinary procedures under the Higher Education Act and Title IX, which does not involve private employer wage, hour, or benefit obligations such as FLSA, ERISA, or FMLA compliance."
s3725-111,,,,,"The bill addresses customs enforcement, antidumping duties, and trade compliance regarding imported merchandise, which does not involve private employer wage, hour, or benefit obligations."
hr1703-114,,,,,"The bill regulates consumer reporting agencies regarding credit reports for minors, which falls under consumer protection and financial privacy rather than private employer wage, hour, or benefit obligations."
hr6334-115,,,,,"The bill establishes a coding education demonstration program for high school students under the Perkins Act, which is an education policy initiative and does not regulate private employer wage, hour, or benefit obligations."
