bill_id,category_ids,category_labels,bill_type,reason
hr6390-114,,,,"The bill addresses financial regulatory oversight and systemic risk designation for bank holding companies under the Dodd-Frank Act, which does not involve private employer wage, hour, or benefit obligations."
hr3789-111,,,,"The bill regulates Amtrak's policies regarding the transport of firearms and ammunition by passengers, which is a transportation safety and security issue unrelated to private employer wage, hour, or benefit obligations."
s1717-108,,,,"The bill establishes a National Cord Blood Stem Cell Bank Network under the Public Health Service Act, which is a public health and medical research initiative involving government contracts with banks, not a regulation of private employer wage, hour, or benefit obligations."
hr1972-107,,,,"The bill addresses wage requirements under the Davis-Bacon Act, which applies exclusively to federal government construction contracts and public works projects, not private employer wage obligations."
s3006-114,,,,"The bill concerns the exchange of federal and non-federal land in Alaska for the Alaska Mental Health Trust Authority, which is a public lands and natural resources issue unrelated to private employer wage, hour, or benefit obligations."
hr4986-106,,,,"The bill addresses corporate income tax provisions regarding foreign sales and extraterritorial income, which are general business tax matters unrelated to private employer wage, hour, or benefit obligations."
hr1370-115,,,,"The bill is primarily an appropriations measure extending funding for government programs (CHIP, public health centers, missile defense) and DHS guidance on human trafficking; it does not regulate private employer wage, hour, or benefit obligations."
s2163-110,,,,"The bill provides income tax averaging for private forest landowners, which is a general tax policy provision unrelated to private employer wage, hour, or benefit obligations."
s961-109,,,,"The bill primarily addresses the reauthorization and reform of the Abandoned Mine Reclamation Fund and directs transfers to union benefit funds, which falls under the exclusion for bills financing government trust funds or similar programs rather than regulating private employer wage or benefit obligations."
hr4096-108,,,,"The bill provides a general employment tax credit for hiring workers in designated renewal communities, which falls under the exclusion for tax credits related to hiring decisions or general job creation rather than regulating private employer wage, hour, or benefit compliance obligations."
hr2600-114,,,,"The bill focuses on financial regulation and the breakup of systemically important financial institutions to prevent taxpayer bailouts, which does not involve private employer wage, hour, or benefit obligations."
s1105-113,,,,"The bill addresses the circulation and policy of U.S. currency ($1 coins), which is a matter of monetary policy and government operations, not private employer wage, hour, or benefit obligations."
s2976-109,,,,"The bill suspends import duties on specific industrial equipment (bench grinders) and does not regulate private employer wage, hour, or benefit obligations."
hr1847-111,,,,"The bill mandates the inclusion of coal-derived fuel in various energy products and addresses exemptions for small refineries, which relates to energy policy and environmental regulation rather than private employer wage, hour, or benefit obligations."
hr4172-110,,,,"The bill addresses estate and gift tax provisions, which are unrelated to private employer wage, hour, or benefit obligations."
s174-110,,,,"The bill regulates parental consent for medical examinations in the Head Start program, which is a federal education and health initiative, and does not address private employer wage, hour, or benefit obligations."
s2848-108,,,,"The bill transfers land jurisdiction for the construction of VA medical facilities, which involves government services and public lands rather than regulating private employer wage, hour, or benefit obligations."
