offense_group,primary_offense,group_new,primary_offense_summary
employment-related offenses,wage and hour violation,Wage Hour & Benefits,"Companies failing to pay proper wages, overtime, or compensation for meal breaks, enforced by DOL Wage and Hour Division."
employment-related offenses,WARN Act violation,Wage Hour & Benefits,Companies failing to give 60-day advance notice to workers before mass layoffs or plant closings as required by the Worker Adjustment and Retraining Notification Act.
employment-related offenses,benefit plan administrator violation,Wage Hour & Benefits,"Mismanagement of employee retirement and benefit plans (pensions, 401k) including ERISA violations such as using underperforming proprietary funds or denying proper protections."
employment-related offenses,Family and Medical Leave Act,Wage Hour & Benefits,"Employers terminating, retaliating against, or failing to reinstate employees who take protected medical or family leave under the FMLA."
employment-related offenses,employment discrimination,Employment Discrimination,"Employers discriminating against job applicants or employees based on race, gender, age, national origin, disability, or other protected characteristics."
employment-related offenses,employment screening violation,Employment Discrimination,"Employers violating Fair Credit Reporting Act requirements during hiring, such as failing to provide proper notice before obtaining background reports on applicants."
employment-related offenses,labor relations violation,Labor Relations,"Unfair labor practices cases brought by the NLRB, primarily resulting in back pay awards for violations of workers collective bargaining and organizing rights."
employment-related offenses,workplace whistleblower retaliation,Labor Relations,"Employers retaliating against employees who report safety violations, fraud, or other wrongdoing to regulators or authorities, violating whistleblower protection laws."
employment-related offenses,work visa violations,Labor Relations,"Employers unlawfully employing undocumented workers, misusing H-1B or other visa programs, or discriminating against U.S. workers in favor of foreign visa holders."
consumer-protection-related offenses,consumer protection violation,Consumer Protection,"State AG and FTC enforcement for deceptive marketing, false advertising, and unfair business practices that harm consumers."
consumer-protection-related offenses,payday lending violation,Consumer Protection,"High-interest short-term lenders making illegal loans, charging unauthorized fees, misrepresenting terms, or operating without proper state licenses."
consumer-protection-related offenses,mortgage abuses,Consumer Protection,"Large-scale mortgage servicing and foreclosure abuses by major banks, including improper foreclosures on servicemembers and falsification of documents."
consumer-protection-related offenses,cannabis violation,Consumer Protection,"Cannabis businesses failing to maintain proper state licenses, inventory controls, security measures, or product testing requirements."
consumer-protection-related offenses,gambling industry violation,Consumer Protection,"Casinos and gaming companies failing to comply with gambling regulations, including paying winnings to self-excluded problem gamblers or failing to disclose principal suitability issues."
consumer-protection-related offenses,insurance violation,Consumer Protection,"Insurers using non-compliant policy forms, discriminating against certain health conditions, using unlicensed agents, or improperly calculating premiums."
consumer-protection-related offenses,housing code violation,Consumer Protection,Landlords and property owners failing to maintain safe and habitable conditions for tenants or allowing foreclosed properties to fall into disrepair.
consumer-protection-related offenses,privacy violation,Consumer Protection,"Data breaches, biometric data violations (BIPA), improper collection or sharing of personal information, and Do Not Call registry violations."
consumer-protection-related offenses,Americans with Disabilities Act,Consumer Protection,"Companies failing to provide equal access to goods and services for individuals with disabilities, including physical access, service animals, and digital accessibility."
consumer-protection-related offenses,discriminatory practices (non-employment),Consumer Protection,"Companies discriminating against customers based on protected characteristics in insurance pricing, lending, or other consumer-facing services."
consumer-protection-related offenses,telecommunications violation,Consumer Protection,"FCC enforcement for improper device marketing, unauthorized transmission, 911 outage failures, and improper pricing to schools."
consumer-protection-related offenses,utility service violation,Consumer Protection,"State PUC enforcement against electric and broadband utilities for service reliability failures, outages, and failure to meet operating performance standards."
